,uid,scenario,label
117,5455,not wanting to take on a long drive for my housemate's obligations,-1
118,5458,cutting off friends after someone spit on me,0
119,5472,"forcing a drunk, vulnerable girl out of my apartment",-1
120,5474,ghosting a serious relationship,-1
121,5475,asking my husband to do some of my chores,0
122,5471,refusing to hold a baby,-1
123,5473,not giving a single mom a ride,-1
124,5469,wanting my stepson to know who is paying for his education,-1
125,5464,getting mad at my recently divorced parents,-1
126,5467,telling my dad (who I've always been close with and who is recently divorced from my mom) that he's not invited on what I thought was a siblings-only visit,-1
127,3215,lying to my friends constantly,-1
128,3216,leaving my parents' house earlier than I intended,0
129,3217,telling people why I cut off my friend that likes me,-1
130,3212,asking my grandma to stop talking about war related things when my parents are away this weekend in a high tension zone,-1
131,3211,ending a friendship with an autistic kid,-1
132,3219,not believing my housemate's mental health issue should get her out of cleaning,1
133,3218,watching a movie with gay characters with 11-year-old I babysit without asking her parents,-1
134,3213,wanting to sleep at night while my wife and grandma take care of the newborn,-1
135,7666,taking a drunk lady to her apartment,1
136,7667,not being a Christian/believer,0
137,7678,wanting to charge homeless people for cups of water,-1
138,7673,refusing to replace a drink that my toddler knocked over because the girl was rude,-1
139,5488,not going home for Thanksgiving,-1
140,5484,thinking all roommates should contribute to communal things as agreed upon when we started the lease,0
141,5476,stopping all kind of communications with my best friend (male) because he got engaged,-1
142,5486,asking my moms friend to drop me off at college,0
143,5478,getting my family to visit my sister to talk while she was spiraling with her anxiety and depression,1
144,5482,getting extremely mad at my mom for laughing at me and throwing water on me,0
145,5479,roasting her back about her weight,-1
146,5485,rubbing my gf in my best friends face,-1
147,5490,calling the police,0
148,5500,not financially helping my brother move in with a new girlfriend,0
149,5491,not helping my depressed friend,-1
150,5494,dropping a friend because of his obsessive crush on our mutual friend,-1
151,5497,wanting to divorce my transgender wife,0
152,5496,asking my mother to leave me alone,-1
153,5489,wasting my dad's time,0
154,5499,a mutual misunderstanding with a girl,0
155,7697,not taking the lunch my dad packed for me to school,0
156,7691,telling my mom to look for the remote herself,-1
157,7701,feeling hurt after gf went by herself on a hike that we were planning to go together,1
158,7696,not offering to repay my mom every time she does something for me,-1
159,7694,calling my ex's friends because he needs help and won't ask,1
160,7702,feeling distant from my fiancee due to lack of intimacy,-1
161,7692,stealing over 4k usd from my abusive parents,-1
162,7698,cutting off my friend for seemingly minor reasons,-1
163,3229,being annoyed that my Dad always sides with my brothers,-1
164,3237,asking my teacher about this,0
165,3228,defending my aunt,1
166,3231,refusing to talk to a classmate bcs he looked up my parents' fb,-1
167,3236,not forgiving ny Grandfarger with Alzheimer's for assaulting me,-1
168,3233,"not buying my coworker cigarettes, and buying them for another coworker",-1
169,3232,not allowing my parents to drive my car,-1
170,7706,refusing to push my neighbor's car,-1
171,7712,wanting nothing to do with my mother anymore,-1
172,7705,letting my Sister in Law watch my daughter instead of my parents,-1
173,7709,wanting my mom to get her own phone service,-1
174,7718,not giving my son his x-box giftcard,-1
175,5520,ignoring Father in Law,-1
176,5511,telling my girlfriend to stop chewing with her mouth open,-1
177,5515,cutting off my emotionally manipulative best friend right before her birthday,-1
178,5512,wanting to report my friend's friend for drunk driving,-1
179,5519,telling my female friend to break up with her boyfriend,0
180,5517,throwing my lab partner under the bus,-1
181,5518,asking about a will/anything I might be owed from my dad passing away,-1
182,5516,cutting funding,-1
183,7719,not wanting to see my best friend because she's depressed,-1
184,7725,falling in love with my best friend and breaking up our friendship when she got a boyfriend,-1
185,7722,turning down a girl because she was fat,-1
186,7720,not forgiving my friend,-1
187,7727,refusing to speak to my in laws,-1
188,7724,telling staff my roommate/friend cut herself,-1
189,7732,choosing not to have a handful of pointless plastic collectibles included in our work office shopping order,1
190,7721,telling my father to shut the fuck up,-1
191,3248,not giving my colleague a lift to subway,-1
192,3255,not wanting kids,0
193,3257,pressuring my wife to get a job,-1
194,3253,not forgiving a guy after he chose another girl,-1
195,5541,charging interest on the money my parents borrowed,-1
196,5540,hitting my dad because he hit our family dog,-1
197,5535,telling on my friend to his parents about a college issue,-1
198,5538,decreasing my participation in my friendship,-1
199,5539,killing all of my ex's friendships,-1
200,7765,taking off my wedding ring 2 years after my wife died,0
201,7768,telling my girlfriend not to lie on her visa application,1
202,7762,wanting my mum to vote in an upcoming election as I'm too young,1
203,7763,not being willing to forgive the person who essentially ruined my life just under 2 years ago,-1
204,7764,wanting my ex to pay his half of rent but move in with his parents,-1
205,5564,calling my friend judgmental and saying that she spreads drama,-1
206,5563,asking out a girl who is non exclusively dating my friend,-1
207,5565,calling bullshit on my wife's story that didn't really matter,-1
208,3293,not respecting my parents religion,0
209,3288,not giving a hungry man food,-1
210,3292,telling my father that he embarrasses me in front of the people at my school,-1
211,3287,screaming at my grandma,-1
212,3286,not wanting my friend to hang out with someone they met online,0
213,3285,refusing to share my late fiancée life insurance payout with her parents,-1
214,3282,not wanting to teach my BF's sister how to wax her own eyebrows when that's what I do for a living,-1
215,3289,leaving home and renting a place with parent's money,0
216,7781,not taking my mother seriously when she's drunk,1
217,7784,refusing to help pay for my friend's birthday gift,-1
218,7788,not wanting to give up my girlfriend's and my bed to her parents,0
219,7790,suggesting to my freind to stop being friends with his ex,-1
220,7786,not wanting to listen to my mom complaining about my older brother,-1
221,7782,not helping a student,-1
222,7791,telling my gf I don't need help at the gym,-1
223,7783,cutting my dad's family out of my life,-1
224,7797,accepting money after helping a friend move,0
225,7801,not forgiving my brother,-1
226,7799,not liking how my girlfriend helps with the washing up,-1
227,7798,thinking my partner should do most of the chores,-1
228,7794,refusing to help someone who stole my credit at work,-1
229,7795,buying a homeless man food and then crying about being white to my dad,0
230,7800,bringing an escaped cat back to my neighbors,1
231,7793,not wanting my girlfriend to get Lice,0
232,7804,threatening to leave my girlfriend of 6 years over her cats,-1
233,7806,ignoring my mom when she asks if she can have some of the food we're cooking,-1
234,7809,not wanting my dad to have anything to do with my sporting events,-1
235,7803,ignoring what my mom wants,-1
236,5611,not wanting to help my friend pick stuff up from the store,-1
237,5613,making fun of my uncle that got cheated and forgive his wife,-1
238,5608,not wanting to interact with my mom's boyfriend,-1
239,7820,not buying a homeless man food,-1
240,3332,knowing that I love my husband more even though he thinks he loves me more,1
241,3330,hiding my parent's divorce from my boyfriend,-1
242,3324,telling off my parents over my law school acceptances,-1
243,5616,playing this game with my gf,0
244,5621,not helping with my newborn daughter when Im on meds,1
245,5615,hating Family,-1
246,5619,ordering perscriptions with my pharmacist when older man comes within half a foot of my face,0
247,5614,not calling my mom when she's giving me the silent treatment,-1
248,5617,abandoning my depressed friend,-1
249,5618,being upset that my parents gave my wedding fund to my sister to freeze her eggs,-1
250,5620,getting upset about a coworker working while off the clock/on break,1
251,5628,getting upset my sister isn't helping around the house,-1
252,5623,not wanting to help my younger brother with his school project,-1
253,5627,wanting to know what I said when I was blackout drunk,-1
254,5626,"platonically calling my friend cute, but then getting called out by his anxious girlfriend and having it blow up",-1
255,5625,not going to my best girl friend's birthday party,-1
256,5629,still talking to my boyfriend's ex-friends,-1
257,5622,not buying flowers at deadbeat dad funeral,-1
258,5624,feeling burnt out on a friendship,0
259,3339,keeping in touch/talking with other male friends while being in a relationship,1
260,3333,not deciding to pick my drunk sister at 2 am,-1
261,3336,telling my ex's parents she had a drug problem after we broke up,-1
262,3338,requesting my partner reject a tinder date,1
263,3343,telling my dad I'm not going to his house again unless his gf and her kids (including my baby sister) leave,-1
264,3334,"telling my Girlfriends daughter, that her dad kinda sucks because he and his new family went to Disneyland without her",-1
265,3337,not jumping at my mum's every command just because she broke her elbow,-1
266,3341,asking for help with the house,0
267,7833,refusing to pay extra down-payment for an apartment,0
268,7840,not wanting my wife to help me with depression,-1
269,7838,telling my older brother that he has an obligation to help with the funeral of our abusive dad,-1
270,7837,not letting my mom's boyfriend stay,-1
271,7835,not wanting updates on the dogs after a breakup,0
272,7834,not wanting to play chauffeur 24/7 for boyfriend's family,-1
273,7836,letting my parents buy me a nice first car,1
274,7839,not wanting to visit a parent,-1
275,3353,asking a friend from Japan about tea houses for my trip,0
276,3349,not wanting to be around my transphobic grandmother,-1
277,3351,getting upset over a future stepsibling who will be 17 years younger than me,-1
278,3348,being upset that my boyfriend is blowing me off for his parents,0
279,3352,logging into ex's snapchat to find out she (might have) cheated,-1
280,3346,being upset with my parents,0
281,3350,asking my mother to contact me less,-1
282,3347,not helping out at my job today even though I'm available,-1
283,5632,telling my sister shes a bad mom for letting her child do whatever she wants,-1
284,5634,cutting ties with my mentally unstable mother,-1
285,5637,beating my dad at Smash Bros,0
286,5630,"telling someone I dont want to be their friend, even tho I don't have fun hanging out with her",-1
287,5635,not making my sister a burrito in the microwave,-1
288,5638,not helping my friend move,-1
289,5631,"not caring alot about 9/11, or school shootings",-1
290,5636,not going to my parents house,0
291,3362,not wanting to forgive my former friends,-1
292,3357,leaving a toxic friendship,-1
293,3360,being angry at my 24yo girlfriend (oc 4 years) for only working at a cafe? I am 27,-1
294,3355,leaving my parents because I don't agree with their views,-1
295,3358,being kind of mad that my GF doesn't want to go with me on tv,-1
296,3356,calling out my girlfriend,-1
297,3354,getting mad at a friend and ending the friendship because of how much time he spends on schoolwork,-1
298,3361,not wanting to vote,-1
299,7862,kicking my mom out,-1
300,7857,refusing to help my so with an english paper after he told me I was making it difficult for him,-1
301,7851,enacting 'revenge' on my mother by treating her the same way she treated me,-1
302,7863,wanting to leave home because of my autistic brother,-1
303,7854,"telling my friend she needs to help herself, too",1
304,7853,breaking with my mother,-1
305,7852,cutting someone out of my life for outing me to a couple friends,-1
306,7858,showing no sympathy to my gf after she eats something she shouldn't on purpose,-1
307,3383,not wanting to save a friendship,-1
308,3384,protecting my cousin from a potential predator,1
309,3376,considering ending a 16 year friendship,-1
310,3379,going on break when it's super busy,-1
311,3375,"blocking someone who helped me a great deal while I was in a bad situation, but then going out of her way to introduce me to people who potentially put me in danger",-1
312,3382,thinking a friendship is unhealthy,-1
313,3380,removing an autistic 10 year old's adminship,-1
314,3377,not inviting my dad's new wife to my wedding,-1
315,7868,telling my roommate to get rid of his pets or be home more,-1
316,7872,wanting my dad to drive me to my mothers house,0
317,7875,judging my parents and siblings for bawling their eyes out at my grandma's funeral,-1
318,7867,not letting my non photographer friend borrow my camera gear for her class event,-1
319,7870,pestering my friend for money they owe me,-1
320,3385,not telling my girlfriend the name of an old friend,-1
321,3397,telling my girlfriend to stop asking if I love her,-1
322,3387,throwing away toys left in my yard by neighbor kids,-1
323,3388,canceling my friend's plane ticket,-1
324,3399,getting a Great Deal on a tv,0
325,3393,telling my cousin her crappy job serving gelato is getting her nowhere,-1
326,7877,making my dad pay tip,1
327,7879,supporting my friend who has cheated on her boyfriend,-1
328,7884,not wanting to continue a friendship with a girl I grew up with,-1
329,7881,not picking a stranded woman up,-1
330,7883,refusing to get the haircut my mom wants me to get,-1
331,7878,denying my father €14,-1
332,7880,teaching my 5 year old cousins how to fight,-1
333,7876,calling the police when my girlfriend locked herself in the bathroom,0
334,3407,moving to a place that my mom hates just because it reminds her of my dad,-1
335,3406,not wanting to take care of my Sister's kids,-1
336,3405,refusing to help with my SIL's birthday party preparations and during the event when she gave one day's notice,-1
337,3402,telling my aunt (essentially the side chick of twenty years) that her baby daddy doesn't love her,-1
338,7887,not helping my friend,-1
339,7889,getting upset my mother wants to sell her house right after I move in,-1
340,3420,not getting my mom a birthday gift,-1
341,3422,being annoyed after I ghosted my friend,-1
342,3413,not wanting my future Father-in-law at my wedding,-1
343,3415,not wanting to spend all my time with my parents,-1
344,3419,telling my parents about a lady who tried to drive me home,0
345,3416,resenting my father for what (might be) a trivial issue,-1
346,3414,cutting off contact with my best friend of four years because she was rude and is a bad listener,-1
347,3421,being annoyed at my boyfriend for not getting me something to eat fast enough when I'm sick,-1
348,5679,acting like a brat towards my dad,-1
349,5680,going back and helping my former employees after we all quit,1
350,5674,refusing to help the addict who saved my life when I was using,-1
351,5678,not helping an injured person,-1
352,5681,agreeing with my friend's parents on an argument,0
353,5677,"drinking at my company party while my girlfriend was at home, concerned about her grandpa being rushed in the hospital",-1
354,5676,sending back my parents to their place when they came for an unexpected visit,-1
355,5675,telling my parents that my sister had a boyfriend though my sister pleaded me not to,-1
356,7911,telling off someone's kid,1
357,7912,not helping my mom and moving in with my dad,1
358,7915,arguing with my husband over the hypothetical fate of my dog if she were to defend herself against his parents hateful chihuahua,-1
359,7913,being upset that my dad won't put me on his car insurance,1
360,7908,asking my ex wife to contribute to kids health insurance,0
361,7910,wanting my sister to acknowledge my apology,1
362,7909,snitching about a friend doing drugs,1
363,7916,shouting at my dad to get out my room because I have exams tomorrow,-1
364,3434,not telling my bisexual best friend that her boyfriend is lowkey homophobic,-1
365,3432,wanting to know if my friend still has feelings for her first love,-1
366,3437,not helping my Ex when she was having an emergency,-1
367,3439,wanting to exclude my mother from my life,-1
368,3440,turning my brother away in the rain,-1
369,3438,getting angry at my dad for criticizing my parenting,-1
370,3433,not wanting my parents to Babysit my Newborn,-1
371,3436,telling my daughter I don't want her to be a step parent,-1
372,7924,wanting to cut ties with a old time friend,-1
373,7923,"suggesting my SO's parents are stupid for giving us a $1,000 graduation gift yet they constantly complain about money",-1
374,7917,getting upset at a friend's underage drinking,1
375,7922,not driving three hours to pick up my sister,-1
376,7920,not inviting my in-laws for Christmas,-1
377,3442,telling my mom I won't be telling her my university grades,-1
378,3443,breaking them up,-1
379,3446,wanting to quit my babysitting job,0
380,3444,canceling a job interview coz they asked me to wear a suit,0
381,3447,constantly ignoring my potentially psychologically ill friend,-1
382,3448,not wanting to help pay the monthly family phone bill,-1
383,3441,taking back £10 from a homeless dude,-1
384,3445,calling out my friend for being a narc and their girlfriend not getting the mental help she needs and their overall questionable behavior,1
385,7935,looking annoyed when my mom sneezed loudly,-1
386,7928,not wanting to be friends with a girl I liked and then realized she was kind of using me for homework,0
387,7929,not talking enough with my mom,-1
388,7934,wanting to distance myself from some of my friends,-1
389,7933,trying to teach my so how to follow social norms,1
390,7930,purposefully ignoring my Mom's I love you texts for 4 years,-1
391,7931,genuinely not caring that my wife's grandmother is dying,-1
392,7936,switching to part time,0
393,3459,not putting more effort into my relationship with my dad,-1
394,3449,stopping contacting a good friend because of her suicidal tendencies,-1
395,3461,calling my 'posh' friend inbred and saying they had webbed feet,-1
396,3452,being in a bad mood after grandpa was diagnosed with prostate cancer,0
397,3455,acting bratty towards my dad over his family,-1
398,3457,not stopping wandering toddlers from leaving the play area at the mall,-1
399,3450,loving my cat more,1
400,3456,not talking to my mom after fighting about a ring,-1
401,3467,(probably) ending this friendship,0
402,3468,trying to Balance Love & Family,1
403,3464,not supporting my friend's new relationship,-1
404,3466,getting a local mechanic to tell me what's wrong with my car. and then taking my car to somewhere else to get it fixed for cheaper,-1
405,3465,wanting my mum to give me her tax statement for my benefits claim,-1
406,3462,getting my ex's car repo'd,1
407,3469,not helping my boyfriend clean today,-1
408,3463,trying to make a friend realize her new bf is a toxic psycho,1
409,3472,not wanting to take on an almost caretaker role for my brother,-1
410,3481,kicking foreign people out of my house for not speaking english,-1
411,3471,ruining a girls chance to getting a date with her crush,-1
412,3473,refusing to spend time with my grandma,-1
413,3479,trying to help a friend out,1
414,3480,finding it annoying when my mother tries to contact my sister,-1
415,3478,getting in a fight with someone I didn't know in a public place with a situation that wasn't my concern,-1
416,7952,not helping my dad when my grandpa's house burned down,-1
417,7956,inadvertently making my coworker look bad,-1
418,7954,reacting to a kid triggering me by bringing up his dead dad,-1
419,7962,ending a childhood friendship because they believe they should still be my priority,-1
420,7958,resenting my younger sister,-1
421,7957,being mad and not really wanting to talk to my father after what happened,-1
422,7959,breaking off a toxic friendship,0
423,7955,not visiting my dying father,-1
424,5684,borrowing money from my mom,0
425,5688,not helping my parents with house work,-1
426,5682,being pissed at my so for not helping me get my licence,-1
427,5685,not wanting to go on vacation with my parents,-1
428,5683,not helping my friend even if I know he will fail without me,-1
429,5689,wanting to get a driving license and my not letting me,0
430,5686,dating my good friend's kind-of ex,-1
431,5687,rejecting my parent's offer to buy me (or split payment for) a car,0
432,5708,going back on my word to my brother,-1
433,5703,"not speaking to my mother for weeks, months",-1
434,5705,calling my dad out for treating me like a housewife after he got divorced,-1
435,5700,not helping my friend/roomate look for his dog,-1
436,5702,not caring when my mom cries,-1
437,5704,not wanting to see my dad or ask him for money,-1
438,5707,not wanting to pay my 'pregnant' friends rent,-1
439,5701,getting angry at my mom after asking to have my brothers do a fair share in chores,-1
440,3501,ghosting my mom 3 years ago,-1
441,3504,not sleeping on the couch with the baby everyday so husband sleeps all night,-1
442,3500,offering my partner a gift card in exchange for doing my portion of the project,-1
443,3505,not loving my stepdad,-1
444,3499,not telling a friend they got the answer wrong on a study guide,-1
445,3502,rejecting him because of his culture/religion,-1
446,3510,letting my gf believed I only cheated once when it was actually multiple times,-1
447,3507,not feeling bad about my father's death,-1
448,7976,not forgiving shitheads,-1
449,7982,not defending my wife's honor by hurting someone who insulted her,-1
450,7983,not teaching my boss an important part of my job,-1
451,7978,snapping at my parents in front of their friends and family,-1
452,7980,neglecting and borderline hating my deadbeat dad,-1
453,7975,telling a mom and Grandma to try to keep their toddler quiet in the library,-1
454,7977,cussing at my Stepmom,-1
455,7985,getting mad at my brother's girlfriend that used to be my best friend,-1
456,3521,"not going to help a friend trim all his weed, because I am really sick, even though hes helped me alot in the past",-1
457,3512,wanting my boyfriend to apologize genuinely when he hurts my feelings,-1
458,3517,yelling at my dad for forcing me to go to church,-1
459,3515,not liking someone based on something that's not their fault,-1
460,3514,I get ridding of my wife's dog,-1
461,3524,dropping my old best friend from my life,-1
462,3513,not caring about the cats I shared with my ex,-1
463,3523,not responding to texts during class and not letting my sister use my computer,-1
464,7996,not accepting a ride from my mother,1
465,7990,going out with friends and not telling my parents,1
466,7989,leaving everytime my sisters boyfriend comes over,-1
467,7986,not being honest to my parents about university,0
468,7997,not liking my friend's new boyfriend and not wanting to participate in his birthday gift,1
469,7994,judging people seeking help,1
470,7988,cutting her hair in revenge,1
471,7993,"having a coworker ask me to cover his closing shift on Sunday because he is sick, but I want to watch the Super Bowl",0
472,3538,wanting to spend a day out with family before my nanas funeral,1
473,3529,not telling my Boyfriend's Mom Information about her Son,0
474,3528,being less than kind to an older woman who constantly shows up too early,-1
475,3537,getting angry with my friend for buying a dog,-1
476,3532,not seeing my dying mom,-1
477,8010,turning down sex for being too in love,0
478,8001,not asking coworkers if they needed help,-1
479,8004,not wanting to be friends with someone who refuses to leave an abusive relationship,-1
480,8005,not wanting to do a particular activity on a couples vacation,0
481,8008,not telling my parents/other people I am graduating,-1
482,8007,trying to help a Streamer out with a game,0
483,7999,refusing to drive to my friend to tutor her in math,-1
484,8006,being offended my boyfriend booked 2 vacations without me,-1
485,3548,letting a cat get killed because I was afraid to save it,-1
486,3551,not wanting a rescue dog,-1
487,3547,complaining to my apartment building that it takes them too long to check-in packages to the mail room,-1
488,3545,wishing my parents weren't together,0
489,3552,not wanting to be friends anymore,-1
490,3542,talking to my ex again and not telling my girlfriend,-1
491,3549,trying to help my sisters boyfriend but realizing he can't be helped and backing out,0
492,3541,not caring that my estranged friend died,-1
493,8021,helping a newer coworker learn parts of his job,1
494,8016,not wanting to help my family out anymore,-1
495,8015,trying to keep a super close eye on depressed suicidal step-daughter,1
496,8018,not paying for my friends car wash when I threw up on her car and already cleaned it off,-1
497,8019,wanting to go out despite my mom's wishes,-1
498,8013,trying to clean my parent's house,1
499,8012,telling a guy I would be fwb then decided not to,-1
500,8023,breakupping with my bf over someone else,0
501,5726,not stopping at an accident where a kid got hit,-1
502,5728,"sleeping with my friend's roomate, a mutual friend. now my friend won't speak to me",-1
503,5725,asking my girlfriend to seek professional help instead of talking to me when she said about wanting to suicide,1
504,5733,alerting my girlfriend about a scam going around,1
505,5729,fighting against dad,-1
506,5727,not going to Grandma's birthday party,-1
507,5732,breaking up with my girlfriend right after her brother got deployed,-1
508,5731,feeling embarrassed that my wife used to sell naked pictures,-1
509,5738,refusing to participate in a conversation my friend is dominating,-1
510,5741,hiding weed from my parents,-1
511,5743,buying my SO's groceries,1
512,5737,"keeping around a friend who's been an asshole for a long time now, shows no signs of changing or acknowledging she's hurting me and limiting her words, because she makes me laugh and helps me through the day",-1
513,5739,being livid that my boyfriend didn't tell me his ex lives a minute away,-1
514,5735,telling someone to not be so bitter on Valentine's day,-1
515,5752,not being especially nice to a repeat uber driver,-1
516,5746,being annoyed at my friend's relationship,1
517,5744,quitting my job as a women's track&field coach because of false allegations made by one parent (now dropped)? I feel like I'm letting down multiple kids for the fault of one person,0
518,5745,taking my sister with me to my grandparents house without telling my mom,-1
519,5751,accidentally short paying a poor man,0
520,5748,working in the oilfield industry (because of the high pay) even though I believe it's destroying the Earth? I vote democrat and minimize my carbon footprint,1
521,5749,insisting my mom go no contact with someone I believe to be toxic,1
522,5750,"not helping a relative rehome a dog, even though I rehome dogs for many others",-1
523,5758,choosing to change my name even though it will hurt my mother,-1
524,5753,leaving my grandparents care to their 4 daughters,-1
525,5759,participating in alienating a classmate and likely being the reason he dropped out of school,-1
526,5755,ignoring guy at work because of his voice,-1
527,5763,not being annoyed about my parents not traveling halfway across the United States for my daughter's 1st birthday,1
528,8038,not lending my co-worker money to go to his grandmother's funeral in India,-1
529,8040,not wanting to deal with my parents,-1
530,8046,not wanting to talk to my mom on the phone every day,-1
531,8044,not wanting to drive my in-law's housekeeper to her bus stop,-1
532,8043,now wanting to volunteer longer,0
